,repoURL,Language,forks_count,stars_count
0,https://github.com/ow2-proactive/proactive-examples,Python,29,6
1,https://github.com/leikoilja/ha-google-home,Python,14,109
2,https://github.com/ranchlai/PaddleAudio,Python,1,0
3,https://github.com/hortonworks/cloudbreak,Java,183,304
4,https://github.com/archlinux/archinstall,Python,72,1386
5,https://github.com/demisto/content,Python,653,634
6,https://github.com/cookiecutter-flask/cookiecutter-flask,Python,677,3718
7,https://github.com/Trusted-AI/adversarial-robustness-toolbox,Python,611,2145
8,https://github.com/maiot-io/zenml,Python,53,1102
9,https://github.com/huangjian888/jeeweb-mybatis-master,Java,8,11
10,https://github.com/521xueweihan/HelloGitHub,Python,5998,40196
11,https://github.com/trinodb/trino,Java,1025,3140
12,https://github.com/alphagov/notifications-api,Python,20,44
13,https://github.com/seata/seata,Java,5961,19240
14,https://github.com/chewiebug/GCViewer,Java,854,3631
15,https://github.com/Genymobile/scrcpy,C,4911,47497
16,https://github.com/fossasia/pslab-android,Java,792,1846
17,https://github.com/ehrbase/openEHR_SDK,Java,14,15
18,https://github.com/GiorgioComitini/COVID-19,Python,1,16
19,https://github.com/python-telegram-bot/python-telegram-bot,Python,3068,14458
20,https://github.com/biopython/biopython,Python,1284,2677
21,https://github.com/ktbyers/netmiko,Python,905,2282
22,https://github.com/pjreddie/darknet,C,16676,20472
23,https://github.com/totogcc78/trends,Python,5,0
24,https://github.com/JirkaVrbka/PA165-2021-IDomaToJde,Java,1,0
25,https://github.com/naaax123/Python-CSGO-Cheat,Python,14,36
26,https://github.com/Clinical-Genomics/scout,Python,33,95
27,https://github.com/rozierguillaume/vitemadose,Python,1,8
28,https://github.com/microsoft/azure-devops-python-api,Python,104,262
29,https://github.com/akarzhaneuski/exadel_sandbox,Java,3,1
30,https://github.com/sukeesh/Jarvis,Python,712,1962
31,https://github.com/chiraag-kakar/sharenlearn,Python,75,39
32,https://github.com/kyrcha/keycloak-mysql-user-federation,Java,3,9
33,https://github.com/hpc-unibe-ch/ubelix-easyconfigs,Python,1,0
34,https://github.com/RRZE-HPC/likwid,C,162,984
35,https://github.com/bids-standard/bids-specification,Python,100,143
36,https://github.com/getodk/collect,Java,1191,572
37,https://github.com/Seagate/cortx-ha,Python,24,4
38,https://github.com/MonetDB/MonetDB,C,5,45
39,https://github.com/django/django,Python,24332,56896
40,https://github.com/DozerMapper/dozer,Java,455,1877
41,https://github.com/hartwigmedical/hmftools,Java,16,65
42,https://github.com/ptvoinfo/neptun2mqtt,Python,5,11
43,https://github.com/maurosoria/dirsearch,Python,1495,5908
44,https://github.com/DataBiosphere/jade-data-repo,Java,5,8
45,https://github.com/MBRO95/PortableCellNetwork,Python,80,305
46,https://github.com/nevillegrech/gigahorse-toolchain,Python,6,25
47,https://github.com/apache/shardingsphere,Java,4650,13689
48,https://github.com/0day-ci/linux,C,22,24
49,https://github.com/oVirt/vdsm,Python,107,88
50,https://github.com/modin-project/modin,Python,420,5979
51,https://github.com/michelin/suricate,Java,7,23
52,https://github.com/arkivverket/noark5-standard,Python,4,1
53,https://github.com/ikibalin/cryspy,Python,1,3
54,https://github.com/lives-group/APEG,Java,1,2
55,https://github.com/hoi-hoi-hoi/spring-study,Java,1,1
56,https://github.com/zapatacomputing/z-quantum-core,Python,9,13
57,https://github.com/csteinmetz1/auraloss,Python,19,160
58,https://github.com/wren-lang/wren,C,410,4811
59,https://github.com/huggingface/datasets,Python,860,7241
60,https://github.com/JSQLParser/JSqlParser,Java,967,2946
61,https://github.com/ankidroid/Anki-Android,Java,1271,3641
62,https://github.com/HewlettPackard/oneview-python,Python,17,12
63,https://github.com/zenodo/zenodo,Python,185,548
64,https://github.com/EddyVerbruggen/cordova-plugin-googleplus,Java,495,538
65,https://github.com/Azaro1805/Final-Project,Python,2,2
66,https://github.com/apache/cloudstack,Java,835,992
67,https://github.com/HEPData/hepdata,Python,8,25
68,https://github.com/huangyunict/redfin_houses,Python,9,11
69,https://github.com/Gui-Yom/reflex,Java,1,0
70,https://github.com/taiwins/taiwins,C,5,165
71,https://github.com/SaCut/eng84_Team_1_Python_Plane_Project,Python,3,0
72,https://github.com/vlang/vc,C,26,119
73,https://github.com/ocadotechnology/aimmo,Python,49,90
74,https://github.com/javabeanz/owasp-security-logging,Java,28,86
75,https://github.com/dunwu/bigdata-tutorial,Java,6,5
76,https://github.com/ParsimonyGit/shipstation_integration,Python,5,5
77,https://github.com/3b1b/manim,Python,3939,33007
78,https://github.com/live-clones/docutils,Python,2,7
79,https://github.com/ngageoint/sarpy,Python,34,74
80,https://github.com/PyFstat/PyFstat,Python,5,10
81,https://github.com/facebookresearch/PoseWarper,Python,9,109
82,https://github.com/appsembler/course-access-groups,Python,1,3
83,https://github.com/igarashi339/algorithms-simulation,Python,1,0
84,https://github.com/ghantoos/lshell,Python,95,380
85,https://github.com/thesofproject/sof,C,154,189
86,https://github.com/nrfconnect/sdk-nrf,C,523,262
87,https://github.com/scm-manager/scm-manager,Java,8,51
88,https://github.com/Pythogon/PhaseBot,Python,1,2
89,https://github.com/twilio/twilio-python,Python,568,1464
90,https://github.com/nordic-institute/X-Road,Java,107,331
91,https://github.com/cn-cerc/summer-server,Java,6,2
92,https://github.com/hijkzzz/pymarl2,Python,16,36
93,https://github.com/ooni/pipeline,Python,10,36
94,https://github.com/msu-coinlab/pymoo,Python,112,585
95,https://github.com/csteinmetz1/pyloudnorm,Python,17,177
96,https://github.com/robinhood/ticker,Java,435,4091
97,https://github.com/mskcc/beagle,Python,3,0
98,https://github.com/signalapp/Signal-Android,Java,4857,20395
99,https://github.com/ChenEating716/OCRTOC_GINS_Simulation-Part,Python,1,5
100,https://github.com/wat1r/geek-algorithm-leetcode,Java,2,15
101,https://github.com/audacity/audacity,C,926,4064
102,https://github.com/mobvoi/wenet,Python,131,691
103,https://github.com/singgih-ardiansyah/INCLUDE-Intelligent-Camera-System-for-Physical-Distancing,Python,1,0
104,https://github.com/0voice/interview_internal_reference,Python,8498,31105
105,https://github.com/jamescurtin/demo-cookiecutter-flask,Python,4,10
106,https://github.com/palantir/gradle-graal,Java,24,191
107,https://github.com/marklogic/marklogic-data-hub,Java,112,114
108,https://github.com/dhis2/dhis2-core,Java,212,201
